voucher,vendor_id,vendor_name,invoice_num,terms_code,created_date,created_amount,event_type,event_date,event_amount,running_open_after_event,source_program,source_item_id
13664,1240501,"Enterprise Rubber, Inc.",227207,N30,2023-10-06,334.40,P,2023-11-07,-334.40,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[5e93e5d4-ffb0-4788-8315-99f9c770f7ad] aptrxp.DT=[2023-11-07 14:56:12.113]
13665,9135801,"C.H Robinson International, Inc.",6188991848,,2023-10-06,5535.00,V,2023-10-06,5535.00,5535.00,,
13667,9517701,Sharp Electronics Corporation,9004537509,,2023-10-06,100.42,V,2023-10-06,100.42,100.42,,
13668,9545901,Marathon Petroleum Co. / WEX BANK,92431047,,2023-10-06,48.96,V,2023-10-06,48.96,48.96,,
13681,9135801,"C.H Robinson International, Inc.",6189066194,,2023-10-06,2373.00,V,2023-10-06,2373.00,2373.00,,
13669,9881301,UPS,00001533W5403,,2023-10-07,185.60,V,2023-10-07,185.60,185.60,,
13670,9544201,Mai Tuo Singapore PTE LTD,MT2309025,,2023-10-07,2790.00,V,2023-10-07,2790.00,2790.00,,
13670,9544201,Mai Tuo Singapore PTE LTD,MT2309025,,2023-10-07,2790.00,P,2023-11-13,-2790.00,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[a4c63c3c-d13a-4321-86fb-b0adb9c3ab9a] aptrxp.DT=[2023-11-13 12:04:05.307]
13671,9544201,Mai Tuo Singapore PTE LTD,MT2309026,,2023-10-07,2490.00,V,2023-10-07,2490.00,2490.00,,
13671,9544201,Mai Tuo Singapore PTE LTD,MT2309026,,2023-10-07,2490.00,P,2023-11-13,-2490.00,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[a356880c-2739-4cd8-a56a-b41202a578e8] aptrxp.DT=[2023-11-13 12:04:05.307]
13672,9897201,Vanwell Logistics Co.,F23094559,,2023-10-07,2850.00,V,2023-10-07,2850.00,2850.00,,
13672,9897201,Vanwell Logistics Co.,F23094559,,2023-10-07,2850.00,P,2023-10-20,-2850.00,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[6e803e25-8512-4ac4-8f4e-99ab17e54528] aptrxp.DT=[2023-10-20 11:59:34.607]
13653,9486503,Ronald Kelleher,LOAN-2023-10,,2023-10-09,931.00,V,2023-10-09,931.00,931.00,,
13655,9342902,John Hancock USA - 401K,401K 2023-10-11,,2023-10-09,2215.41,V,2023-10-09,2215.41,2215.41,,
13655,9342902,John Hancock USA - 401K,401K 2023-10-11,,2023-10-09,2215.41,P,2023-10-09,-2215.41,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[ba73dbfb-e27b-4f06-8a1c-0a7a3c47df90] aptrxp.DT=[2023-10-09 08:02:28.320]
13673,9437401,Its Water Time LLC,35476738,,2023-10-09,44.23,V,2023-10-09,44.23,44.23,,
13674,9292501,"Freedom Global Development Co.,LTD",FD23090186,,2023-10-09,2785.00,V,2023-10-09,2785.00,2785.00,,
13676,9135801,"C.H Robinson International, Inc.",6189171087,,2023-10-10,301.00,V,2023-10-10,301.00,301.00,,
13677,9233001,"Hallwood Enterprises, Inc.",124179,,2023-10-10,6085.99,V,2023-10-10,6085.99,6085.99,,
13678,9276701,FedEx,8-280-93941,,2023-10-10,51.06,V,2023-10-10,51.06,51.06,,
13684,1966101,"Xuancheng Yinming Auto Parts Manufacturing Co., Ltd.",20230720,N45,2023-10-10,41681.86,V,2023-10-10,41681.86,41681.86,,
13682,9135801,"C.H Robinson International, Inc.",6189246754,,2023-10-11,3373.29,V,2023-10-11,3373.29,3373.29,,
13682,9135801,"C.H Robinson International, Inc.",6189246754,,2023-10-11,3373.29,P,2023-11-07,-3373.29,0.00,SLAptrxps,PBT=[aptrxp] aptrxp.ID=[e99d705e-e808-4c40-8ff1-99a1194b645f] aptrxp.DT=[2023-11-07 13:49:09.343]
13683,9500601,"First Choice Shredding, Inc",28196,,2023-10-11,40.00,V,2023-10-11,40.00,40.00,,
13683,9500601,"First Choice Shredding, Inc",28196,,2023-10-11,40.00,P,2023-10-13,-40.00,0.00,SLAPTRXPS,PBT=[aptrxp] aptrxp.ID=[f8097577-26b7-4917-9e12-0b0c7e97983d] aptrxp.DT=[2023-10-13 12:12:38.307]
13686,9135801,"C.H Robinson International, Inc.",6189320019,,2023-10-12,1445.50,V,2023-10-12,1445.50,1445.50,,
13688,1007401,Accurate Elastomer Products,IN121726,N30,2023-10-12,790.50,V,2023-10-12,790.50,790.50,,
13709,9719501,"Pro QC International North America, Inc.",132010,,2023-10-12,299.00,V,2023-10-12,299.00,299.00,,
